Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
Arquivo =  ..\3_N4_Armazenamento\Dados_Brutos\Rodada_Teste_2026_08_13_00-02-26.txt  | Pacotes =  4  | Recebidos =  0  | PSR =  0.0 | RSSI Downlink =  None | RSSI Uplink =  None | SNR Downlink =  None | SNR Uplink =  None | RSSI DL min/max =  None None | RSSI UL min/max =  None None | SNR DL min/max =  None None | SNR UL min/max =  None None | Taxa Canal Teórica (bps) =  585.9375 | Taxa Canal Calculada (bps) =  0.0
